SNo,Question,OptionA,OptionB,OptionC,OptionD,Answer,Name,LOD
104,Which one of the following statements is used to import only the specific function sqrt() of the math module to use without a qualifier?,All of these,import math,from math import sqrt  ,from math import *,C,Mugdha,Medium
105,"Identify which one of the following statement is used to import only choice(), and randint() functions from the random module, and to use the them without using the name of the module(qualifier) in Python program.",from random import choice.randint,from random import *,import random,"from random import choice, randint",D,Mugdha,Medium
106,"According to the below program, which of the following names are called module variables?

SampleProgram.py

from random import *
colors = ['red', 'blue', 'yellow']
def selectColor(colorsList):
chosenOrder = []
colorsList.insert(1,'green')
for color in colorsList:
chosenOrder.append(choice(colorsList))
return chosenOrder","insert, append","selectColor, colors","chosenOrder, color",colorsList,B,Mugdha,Medium
107,"Which of the following quotation marks are not used to enclose/represent the string in Python? 

1. ' "" 
2. "" "" 
3. ' '",Only 1,Only 2,Both 1 & 2,Both 2 & 3,A,Mugdha,Medium
108,Which of the following statements is used to import all of the resources of the images module to use without a qualifier?,import images,from images import Image,from images import *,from images import image,C,Mugdha,Medium
109,"For the given assignment operations, which one of the following is not the augmented assignment operation?
u = 5
p = “welcome”",p += “John”,u =- 2 ,u -= 2,u *= 2,B,Mugdha,Medium
110,"In the implementation of data encryption, which one of the following functions gives back a character that represents the specified Unicode integer value?",chr() ,input(),ord(),int(),A,Mugdha,Medium
111,Which one of the following is the equivalent finite recursive function for the below displayRange() function?,Function-2,Function-4,Function-1,Function-3,C,Mugdha,Medium
112,"Assume that craps is a module and it contains the functions playOneGame(), playManyGames(), and the class Player. Assume that these functions are defined within the module craps but outside of the class Player, and assume these resources are used to develop the game of craps. To import these specific different resources such as playOneGame(), playManyGames(), and the class Player from the module craps and to use the same without a qualifier in a program, which one of the following statements is used?

from craps import *

from craps import playOneGame, playManyGames, Player

import craps

from craps import playOneGame.playManyGames.Player


Which one of the following will be produced as the output for the statement “%-10s” % “five”?",‘ five’,‘five’,‘five ’,‘ five ’,C,Mugdha,Medium
113,Which one of the following represents a list of strings in Python?,"[2,-4.5, ‘done’]","['welcome', ""hi"", 'hello']","[3,6,-4]","[3.4,4.5,5.1]",B,Mugdha,Medium
114,Which one of the following comparison operators are used to check whether the values of operands are different or not?,<=,!=,>=,"""==""",B,Mugdha,Medium
115,,The sum of the numbers between lower and upper inclusive.,The sum of the numbers from lower to one less than the upper.,The sum of the numbers from lower+1 to one less than the upper.,The sum of the numbers from lower to one more than the upper.,B,Mugdha,Medium
116,Which one of the following types of value can be written in the form a+bj?,complex,str,int,float,A,Mugdha,Medium
117,Which one of the following is the representation of 46 in hexadecimal notation in Python?,(46)10,(56)8,(101110)2,2.00E+16,D,Mugdha,Medium
118,Which of the following data types is used to store decimal numbers with the single-precision?,double,char,int,float,D,Mugdha,Medium
119,Which of the following are not the characteristics of structured programming?,Code reusability,Information hiding,Top-down design,Bottom-up design,D,Mugdha,Medium
120,"def fun1(string):
	 string = string[::-1] 
	return string 
print(fun1(""hello""))
","""hell""","""olleh""","""hlo""","""ello""",B,Harsh Rajpal,Medium
121,"What does the following statement mean?
     int (*fp)(char*)
",pointer to a pointer,pointer to an array of chars ,"pointer to function taking a char* 
argument and returns an int
","function taking a char* argument 
and returning a pointer to int
",C,Harsh Rajpal,Medium
122,"What will be the output of the following Python code: 
x = 'abcd'
print(list(map(list, x)))"," [‘a’, ‘b’, ‘c’, ‘d’] ",[‘abcd’],"[[‘a’], [‘b’], [‘c’], [‘d’]]",None,C,Harsh Rajpal,Medium
123,"Suppose t = (1, 2, 4, 3), which of the following is incorrect in python?",print(t[3]),t[3] = 45,print(max(t)),print(len(t)),B,Harsh Rajpal,Medium
124,"Find the output of the following program:
a = {i: i * i for i in range(6)} 
print (a) 
",Dictionary comprehension doesn’t exist,"{0: 0, 1: 1, 2: 4, 3: 9, 4: 16, 5: 25, 6:36}","{0: 0, 1: 1, 4: 4, 9: 9, 16: 16, 25: 25}","{0: 0, 1: 1, 2: 4, 3: 9, 4: 16, 5: 25}",D,Harsh Rajpal,Medium
125,"import string
 A, B, C = 0, 0, 0
 for ch in ""Arthur, Britain’s King"":
 if ch in ""aeiou"":
 A += 1
 if ch not in string.ascii_letters:
 B += 1
 else:
 C += 1
 print( A ) # Line 1
 print( B ) # Line 2
 print( C ) # Line 3

Which of the following statements about the Python code labeled ""Line 1"" is correct?",It will display 0 when the program is executed.,It will display 4 when the program is executed.,It will display 5 when the program is executed.,It will display 6 when the program is executed.,c,Haneet,Medium
126,"import string
 A, B, C = 0, 0, 0
 for ch in ""Arthur, Britain’s King"":
 if ch in ""aeiou"":
 A += 1
 if ch not in string.ascii_letters:
 B += 1
 else:
 C += 1
 print( A ) # Line 1
 print( B ) # Line 2
 print( C ) # Line 3

Which of the following statements about the Python code labeled ""Line 2"" is correct?",It will display 0 when the program is executed.,It will display 1 when the program is executed.,It will display 2 when the program is executed.,None of the above,D,Haneet,Medium
127,"import string
 A, B, C = 0, 0, 0
 for ch in ""Arthur, Britain’s King"":
 if ch in ""aeiou"":
 A += 1
 if ch not in string.ascii_letters:
 B += 1
 else:
 C += 1
 print( A ) # Line 1
 print( B ) # Line 2
 print( C ) # Line 3

Which of the following statements about the Python code labeled ""Line 3"" is correct?",It will display 0 when the program is executed.,It will display 15 when the program is executed.,It will display 18 when the program is executed.,It will display 22 when the program is executed.,c,Haneet,Medium
128,"
What will be displayed when the following Python code is executed?
 for n in range( 1, 5 ):
 print( n, sep="", "", end=""."" )
 print()",1.2.3.4.,"1, 2, 3, 4.",1.2.3.4.5.,E) None of the above.,A,Haneet,Medium
129,"out = open( ""midterm.txt"", ""w"" ) 
for n in range( 4 ): 
  print( ""Line"", n, file=out ) 
print( ""Done!"" ) 
After the above Python code executes, which of the following statements about file ""midterm.txt"" is correct? Assume the call to function ""open"" does not cause an exception. ",The file contains 0 characters.,The file contains 20 characters.,The file contains 24 characters.,The file contains 34 characters.,A,Haneet,Medium
130," value = int( input( ""Value:"" ) )
 try:
 print( ""Result="", end="""" )
 result = 20 / value
 print( result, end="""" )
 except:
 print( ""Error"", end="""" )
 print()

What will be displayed when the
program is executed and the user pushes the A key, followed by the Enter key?",Result=,Result=4,Result=4.0,None of the Above,d,Haneet,Medium
131," value = int( input( ""Value:"" ) )
 try:
 print( ""Result="", end="""" )
 result = 20 / value
 print( result, end="""" )
 except:
 print( ""Error"", end="""" )
 print()

What will be displayed when the
program is executed and the user pushes the 5 key, followed by the Enter key?",Result=,Result=4,Result=4.1,None of the Above,c,Haneet,Medium
132," value = int( input( ""Value:"" ) )
 try:
 print( ""Result="", end="""" )
 result = 20 / value
 print( result, end="""" )
 except:
 print( ""Error"", end="""" )
 print()

What will be displayed when the
program is executed and the user pushes the 0 key, followed by the Enter key?",Result=,Result=5,Result=4.2,Result=Error,d,Haneet,Medium
1,"Evaluate the following expression and identify the correct answer
10-(1+1) * 2+ 2 * 3**2 * 2",54,42,18,32,b,Garv Tandon,Hard
2,"Evaluate the following expression and identify the correct answer
6-(3+2) * 5+ 4 * 2**2 * 4",54,45,18,32,b,Garv Tandon,Hard
3,"Evaluate the following expression and identify the correct answer
(3+2) - 10 * 3+ 1 * 5**2 * 2",225,25,5,125,b,Garv Tandon,Hard
4,"Evaluate the following expression and identify the correct answer
(100 - 100) * 3+ 1 * 10**3 * 2",2000,1000,100,10,a,Garv Tandon,Hard
5,"Evaluate the following expression and identify the correct answer
(3+2) - 10 * 3+ 1 *0**-1",9,-27,3,27,b,Garv Tandon,Hard
6,"Which of the following option can be the output for the following code?

import random 
List = [""Delhi"", ""Mumbai"", ""Chennai"", ""Kolkata""]
for y in range (4):
    x= random.randint (1,3)
    print (List[x].end=""#"")",Delhi#Mumbai#Chennai#Kolkata#,Mumbai#Chennai#Kolkata#Mumbai#,Mumbai#Mumbai#Mumbai#Delhi#,Mumbai#Mumbai#Chennai#Mumbai,b,Garv Tandon,Hard
7,"What will be the output of the following code?
tupl= (40,3,[11,33],39)
tupl[2][1] = 1.23
print (tupl)",Error message,"(40,3,[1.23,33],39)","(40,3,[11,1.23],39)","(40,3,[11,33],39)",c,Garv Tandon,Hard
8,"What will be the output of the following code?
tupl= (20,1,[22,44],41)
tupl[2][1] = 3.45
print (tupl)",Error message,"(20,1,[1.23,33],41)","(20, 1, [22, 3.45], 41)","(20,1,[22,44],41)",c,Garv Tandon,Hard
9,"What will be the output of the following code?
tupl= (40,3,[11,33],39)
tupl[2][0] = 1.13
print (tupl)",Error message,"(40,3,[1.13,33],39)","(40, 3, [1.13, 33], 39)","(40,3,[11,33],39)",c,Garv Tandon,Hard
10,"What will be the output of the following code?
tupl= (40,3,[11,33],39)
tupl[2][2] = 1.23
print (tupl)",Error message,"(40,3,[1.23,33],39)","(40,3,[11,1.23],39)","(40,3,[11,33],39)",a,Garv Tandon,Hard
11,"What will be the output of the following code?
tupl= (40,3,[11,33],39)
tupl[2] = 1.23
print (tupl)",Error message,"(40,3,[1.23,33],39)","(40,3,[11,1.23],39)","(40,3,[11,33],39)",a,Garv Tandon,Hard
12,"What will be the output
all(0,6,3.2)",Error,TRUE,FALSE,0,a) Error,Garv Tandon,Hard
13,"What will ""95"" + 5 evaluate to",100,955,Error,None of these,c) Error,Garv Tandon,Hard
14,"If I have 
>>> a = [8,6,19]
>>> b = [0,6,0]
>>> t = tuple((a,b))
What will t[0][0] = 5 do",t cannot be modified because t is a tuple,t[0][0] does not exist,"t will be updated and the result will be 
>>> t
([5, 6, 19], [0, 6, 0])","t will be not be updated and the result will be 
>>> t
([8, 6, 19], [0, 6, 0])",c),Garv Tandon,Hard
15,"Predict the output:
num = 15
for x in range(num):
    x = x+3
    print(x)","3
4
5
6
7
8
9
10
11
12
13
14
15
16
17","3
6
9
12
15","0
1
2
3
4
5
6
7
8
9
10
11
12
13
14","3
4
5
6
7
8
9
10
11
12
13
14",a) ,Garv Tandon,Hard
16,"Predict the output:
a, b = 30, 30
print(a is b)

a, b = 301, 301
print(a is b)","True
True","True
False","False
False","False 
True",b),Garv Tandon,Hard
17,"Predict the output:
def fun(lst = []):
   lst.append('ADG')
   return lst
print(fun())
print(fun())
print(fun())","['ADG']
['ADG']
['ADG']","['ADG']
['ADG', 'ADG']
['ADG', 'ADG', 'ADG']",No output,None of these,b),Garv Tandon,Hard
18,"Predict the output:
def function1():
    ls1 = [5,10,15] 
    ls2 = ls1 
    ls1 += ['A', 'D', 'G']
    print(ls1) 
    print(ls2)
    
def function2():
    ls1 = [5,10,15]
    ls2 = ls1 
    ls1 = ls1 + ['A', 'D', 'G']
    print(ls1) 
    print(ls2)
    
function1()
function2()","[5, 10, 15, 'A', 'D', 'G']
[5, 10, 15, 'A', 'D', 'G']
[5, 10, 15, 'A', 'D', 'G']
[5, 10, 15, 'A', 'D', 'G']","[5, 10, 15, 'A', 'D', 'G']
[5, 10, 15, 'A', 'D', 'G']
[5, 10, 15, 'A', 'D', 'G']
[5, 10, 15]","[5, 10, 15, 'A', 'D', 'G']
[5, 10, 15, 'A', 'D', 'G']","[5, 10, 15, 'A', 'D', 'G']",b),Garv Tandon,Hard
19,"def f1(s):
    result1 = 0
    result2 = ''
    result3 = 0
    for c in s:
        if c.isdigit() :
            result1 += int(c)
        elif c.isalpha():
            result2 += c
        else:
            result3 += 1
    return result1,result2,result3
  
def f2(str1, str2):
    return len(str1) < len(str2)
  
data = ""It is 2017!""
r1, r2, r3 = f1(data)
print( r1 )

What is the output for the following program.",0,2,20,10,d,Umesh,Hard
20,"def f1(s):
    result1 = 0
    result2 = ''
    result3 = 0
    for c in s:
        if c.isdigit() :
            result1 += int(c)
        elif c.isalpha():
            result2 += c
        else:
            result3 += 1
    return result1,result2,result3
  
def f2(str1, str2):
    return len(str1) < len(str2)
  
data = ""It is 2017!""
r1, r2, r3 = f1(data)
print( r2 )

What is the output for the following program.",it i,itis,2017,is20,b,Umesh,Hard
21,"def f1(s):
    result1 = 0
    result2 = ''
    result3 = 0
    for c in s:
        if c.isdigit() :
            result1 += int(c)
        elif c.isalpha():
            result2 += c
        else:
            result3 += 1
    return result1,result2,result3
  
def f2(str1, str2):
    return len(str1) < len(str2)
  
data = ""It is 2017!""
r1, r2, r3 = f1(data)
print( r3 )

What is the output for the follwing program",1,2,3,4,c,Umesh,Hard
22,"def f1(s):
    result1 = 0
    result2 = ''
    result3 = 0
    for c in s:
        if c.isdigit() :
            result1 += int(c)
        elif c.isalpha():
            result2 += c
        else:
            result3 += 1
    return result1,result2,result3
  
def f2(str1, str2):
    return len(str1) < len(str2)
  
data = ""It is 2017!""
r1, r2, r3 = f1(data)
print( f2( r2,'aeiou'))
What is the output for the following program
",FALSE,0,1,Non of the above,d,Umesh,Hard
23,"def second(s):
    for i,ch in enumerate(s):
        if not ch.isdigit():
            continue
        if i == 0:
            x = int(ch)
            continue
        y = int(ch)
        if y > x:
            x = y
    return x
    
print(second('1a7 24x 5 9z'))
What is the output for the following program",1,24,75,9,d,Umesh,Hard
24,"import re
email = input()
if re.search('^[a-zA-Z0-9]+[\._]?[a-z0-9]+[@]\w+[.]\w{2,3}$',email):
    print(""welcome back sir"")
else:
    print('initiating self destruct sequence')

Which of the following input prints ""welcome back sir""",me$$i@psg.fr,halamadrid@rm.corn,yolocr7@united.com,yolo`@gmail.com,c,harsh vardhan,Hard
25,"l = ""[1,5,6,7,7,8,8,6,6,6,4,3]""
s = l.split("","")
print(list(set('`'.join(s))))

what is the output of the above python code","['5', '4', '[', '`', '7', '8', '1', ']', '6', '3']",[1`5`6`7`7`8`8`6`6`6`4`3],"[']', '7', '3', '8', '1', '4', '`', '5', '[', '6']",None,a,harsh vardhan,Hard
26,What will be the output of the following code?,23,24,25,26,24,srinivas,Hard
27,What will be the output of the following code?,14,15,16,17,15,srinivas,Hard
28,What will be the output of the following code?,12,11,13,14,13,srinivas,Hard
29,"main()  
{  
  int i = 2;  
  {  
    int i = 4, j = 5;  
     printf(""%d %d"", i, j);  
  }    
  printf(""%d %d"", i, j);  
}  ",4525,2525,4545,None of the these,4525,Raehat Singh Nanda,Hard
30,"Which of the following comment is correct when a macro definition includes arguments?

The opening parenthesis should immediately follow the macro name.
There should be at least one blank between the macro name and the opening parenthesis.
There should be only one blank between the macro name and the opening parenthesis.
All the above comments are correct.",,,,,The opening parenthesis should immediately follow the macro name.,Raehat Singh Nanda,Hard
31,"What is a lint?

C compiler
Interactive debugger
Analyzing tool
C interpreter",,,,,Analyzing tool,Raehat Singh Nanda,Hard
32,"What is the output of this statement ""printf(""%d"", (a++))""?

The value of (a + 1)
The current value of a
Error message
Garbage",,,,,"The current value of ""a"".",Raehat Singh Nanda,Hard
33,"main()  
{  
   char x [10], *ptr = x;  
  scanf (""%s"", x);  
  change(&x[4]);  
}  
 change(char a[])  
 {  
   puts(a);  
 }  
If abcdefg is the input, the output will be

abcd
abc
efg
Garbage",,,,,efg,Raehat Singh Nanda,Hard
34,"main()  
{  
  int a = 1, b = 2, c = 3:  
  printf(""%d"", a + = (a + = 3, 5, a))  
}  
What will be the output of this program?6
9
12
8",,,,,8,Raehat Singh Nanda,Hard
35,"What does this declaration mean?

int x : 4;  
X is a four-digit integer.
X cannot be greater than a four-digit integer.
X is a four-bit integer.
None of the these",,,,,X is a four-bit integer.,Raehat Singh Nanda,Hard
36,"Why is a macro used in place of a function?

It reduces execution time.
It reduces code size.
It increases execution time.
It increases code size.",,,,,It reduces code size.,Raehat Singh Nanda,Hard
37," In the C language, the constant is defined _______.

Before main
After main
Anywhere, but starting on a new line.
None of the these.",,,,,"Anywhere, but starting on a new line.",Raehat Singh Nanda,Hard
38,What will be the output of the following code?,10,11,12,13,13,srinivas,Hard
39,What will be the output of the following code?,-69,-70,-71,-72,-70,srinivas,Hard
40,What will be the output of the following code?,40,41,42,43,42,srinivas,Hard
41,What will be the output of the following code?,42,43,45,46,46,srinivas,Hard
42,What will be the output of the following code?,-60,-61,-62,-63,-63,srinivas,Hard
43,What will be the output of the following code?,-14,-15,-16,-17,-14,srinivas,Hard
44,What will be the output of the following code?,-69,-70,-71,-72,-70,srinivas,Hard
45,What will be the output of the following code?,41,42,43,44,43,srinivas,Hard
46,"What will be the output of the following Python code?
f=lambda x:bool(x%2)
print(f(20), f(21))",False True,False False,True True,True False,A,Ankit Sidana,Hard
47,"What will be the output of the following Python code?
f=lambda x:bool(x%2)
print(f(26), f(45))",False True,False False,True True,True False,A,Ankit Sidana,Hard
48,"What will be the output of the following Python code?
f=lambda x:bool(x%2)
print(f(91), f(12))",False True,False False,True True,True False,D,Ankit Sidana,Hard
49,"What will be the output of the following Python code?
f=lambda x:bool(x%2)
print(f(77), f(50))",False True,False False,True True,True False,D,Ankit Sidana,Hard
50,"What will be the output of the following Python code?
f=lambda x:bool(x%2)
print(f(73), f(21))",False True,False False,True True,True False,C,Ankit Sidana,Hard
51,"What will be the output of the following Python code?
f=lambda x:bool(x%2)
print(f(20), f(60))",False True,False False,True True,True False,B,Ankit Sidana,Hard
52,"What will be the output of the following Python code?
l=[1, -2, -3, 4, 5]
def f1(x):
    return x<2
m1=filter(f1, l)
print(list(m1))","[1, 4, 5 ]","[-2, -3]","[1, -2, -3]",Error,C,Ankit Sidana,Hard
53,"What will be the output of the following Python code?
l=[1, -2, -3, 4, 5,10]
def f1(x):
    return x<1
m1=filter(f1, l)
print(list(m1))","[1, 4, 5 ]","[-2, -3]","[1, -2, -3]",Error,B,Ankit Sidana,Hard
54,"What will be the output of the following Python code?
l=[1, -2, -3, 4, 5, 7]
def f1(x):
    return x<5
m1=filter(f1, l)
print(list(m1))","[1, 4, 5 ]","[-2, -3]","[4, 1, -2, -3]",Error,C,Ankit Sidana,Hard
55,"What will be the output of the following Python code?
l=[1, -2, -3, 4, 5]
def f1(x):
    return x>-1
m1=filter(f1, l)
print(list(m1))","[1, 4, 5 ]","[-2, -3]","[1, -2, -3]",Error,A,Ankit Sidana,Hard
56,"What will be the output of the following Python code?
l=[1, -2, -3, 4, 5]
def f1(x):
    return x<-3
m1=filter(f1, l)
print(list(m1))","[1, 4, 5 ]","[5,4,1,-2]","[1, -2, -3]",Error,B,Ankit Sidana,Hard
57,"What is the output of the code given below:
#include <iostream>
#include <cstdlib>
using namespace std;

int main() {

  
  cout << abs(-3);

  return 0;
}",3,-3,0,Error,A,Harsh Rajpal,Hard
